"SMCC 100µ";"1";""
"PFL 10";"2";""
"WSL 10G";"2";""
"1N 4148W DIO";"2";""
"RD1A108M1012M128";"1";""
"BCR 133W SMD";"14";""
"SMD-0805 10,0K";"4";""
"RASP PI PICO";"1";""
"D-SUB BU 09FB";"2";""
